timestamp,sender,receiver,amount,sender_balance,is_fraud
2024-11-06 18:19:57,4000007312098459,4000008637540910,4151,14909,0
2024-11-06 18:19:57,4000004695078125,4000005279813605,8961,60059,0
2024-11-06 18:19:57,4000008650143972,4000001638029454,10147,87544,0
2024-11-06 18:19:57,4000000356217846,4000007513604899,2287,130490,0
2024-11-06 18:19:57,4000007430261955,4000001068243575,7497,137127,0
2024-11-06 18:19:57,4000007284916357,4000008039741629,12921,78385,0
2024-11-06 18:19:57,4000002954731863,4000004921570382,3182,7319,0
2024-11-06 18:19:57,4000004387612959,4000009021534766,3116,37320,0
2024-11-06 18:19:57,4000006580729431,4000000193562743,9262,74671,0
2024-11-06 18:19:57,4000008063914571,4000008397645206,2463,161034,0
2024-11-06 18:19:57,4000002970643589,4000003147805697,4838,29401,0
2024-11-06 18:19:57,4000003890524768,4000000578239644,1428,3246,0
2024-11-06 18:19:57,4000001825934078,4000006301297544,2162,23607,0
2024-11-06 18:19:57,4000003789652019,4000002596048734,9210,57620,0
2024-11-06 18:19:57,4000000795842311,4000001279460380,1544,53615,0
2024-11-06 18:19:57,4000008246350974,4000003564978019,2701,37260,0
2024-11-06 18:19:57,4000004901385678,4000001584790265,6222,32170,0
2024-11-06 18:19:57,4000002736549815,4000007581296032,8081,18241,0
2024-11-06 18:19:57,4000007350426919,4000001042673855,3105,37192,0
2024-11-06 18:19:57,4000002387096413,4000002073514984,6782,35505,0
2024-11-06 18:19:57,4000009318507269,4000008690214353,28645,113984,1
2024-11-06 18:19:57,4000000657428936,4000003756819427,18332,65031,0
2024-11-06 18:19:57,4000004975380613,4000004307125694,11871,14206,0
2024-11-06 18:19:57,4000008594760329,4000009137568427,17620,53125,0
2024-11-06 18:19:57,4000006173950428,4000002931876450,15422,106074,0
2024-11-06 18:19:57,4000005208796137,4000002146385701,12214,43428,0
2024-11-06 18:19:57,4000007120586349,4000001024578395,6959,8777,0
2024-11-06 18:19:57,4000005389107468,4000003761024856,8427,37146,0
2024-11-06 18:19:57,4000006981247033,4000007421680536,4632,45590,0
2024-11-06 18:19:57,4000002381957602,4000009584136728,262,456,0
2024-11-06 18:19:57,4000000385196276,4000004057138962,19164,162470,0
2024-11-06 18:19:57,4000004610529731,4000002086719430,4229,42766,0
2024-11-06 18:19:57,4000007214309681,4000008950461322,17823,123956,0
2024-11-06 18:19:57,4000009853046277,4000000714398262,6090,57171,0
2024-11-06 18:19:57,4000004715603829,4000004653781207,18772,89496,0
2024-11-06 18:19:57,4000008196357409,4000007612490356,11416,30257,0
2024-11-06 18:19:57,4000001906872452,4000009513246085,9281,41963,0
2024-11-06 18:19:57,4000003854012966,4000005493816020,2274,11163,0
2024-11-06 18:19:57,4000007941038256,4000004361082575,2889,12762,0
2024-11-06 18:19:57,4000005978163245,4000004291563082,7586,10515,0
2024-11-06 18:19:57,4000007529843606,4000005081436272,16227,89993,0
2024-11-06 18:19:57,4000008624170531,4000007984316205,19040,83787,0
2024-11-06 18:19:57,4000000195682374,4000005149806375,6143,33067,0
2024-11-06 18:19:57,4000004973518065,4000002684913054,18163,38858,0
2024-11-06 18:19:57,4000001923546808,4000001825349673,8202,39178,0
2024-11-06 18:19:57,4000005983401267,4000002065947382,12098,55318,0
2024-11-06 18:19:57,4000007926581437,4000003172658490,9860,179945,0
2024-11-06 18:19:57,4000004218360794,4000005963827416,1094,46815,0
2024-11-06 18:19:57,4000006752980341,4000005372416082,7673,10651,0
2024-11-06 18:19:57,4000002438590174,4000002436958704,10191,33059,0
2024-11-06 18:19:57,4000003012756496,4000002360749186,11996,93624,0
2024-11-06 18:19:57,4000003190784260,4000001837056423,8632,86126,0
2024-11-06 18:19:57,4000005274016980,4000008629075412,6407,72248,0
2024-11-06 18:19:57,4000005872614301,4000005692714380,5898,33576,0
2024-11-06 18:19:57,4000000548167297,4000006732084917,4710,20442,0
2024-11-06 18:19:57,4000003687290540,4000003465279103,13096,23664,0
2024-11-06 18:19:57,4000003704965124,4000003798102642,13813,80697,0
2024-11-06 18:19:57,4000005896421378,4000005793840613,15614,39771,0
2024-11-06 18:19:57,4000000358629477,4000004819305271,15092,54352,0
2024-11-06 18:19:57,4000004589267131,4000001529368078,3117,30407,0
2024-11-06 18:19:57,4000008637940250,4000006982753401,17352,52706,0
2024-11-06 18:19:57,4000007428613902,4000007421530897,15986,17638,0
2024-11-06 18:19:57,4000004790512630,4000004710385695,11633,39637,0
2024-11-06 18:19:58,4000000189732466,4000003261405795,9195,90929,0
2024-11-06 18:19:58,4000008609542175,4000000748516236,3574,68082,0
2024-11-06 18:19:58,4000009768314059,4000006470598128,5647,66803,0
2024-11-06 18:19:58,4000001495236077,4000006370185240,11536,97477,0
2024-11-06 18:19:58,4000001274906387,4000007386421090,9264,63142,0
2024-11-06 18:19:58,4000003569271485,4000009574183268,9194,66172,0
2024-11-06 18:19:58,4000003840561795,4000006840539125,9109,84989,0
2024-11-06 18:19:58,4000007096542318,4000003426085912,2784,12107,0
2024-11-06 18:19:58,4000005496178303,4000009625018471,17862,44600,0
2024-11-06 18:19:58,4000001984307561,4000004908612538,10051,21364,0
2024-11-06 18:19:58,4000002938514708,4000005721408939,18719,37567,0
2024-11-06 18:19:58,4000009074381255,4000005941062383,4370,53153,0
2024-11-06 18:19:58,4000001704398627,4000000761942830,3543,60245,0
2024-11-06 18:19:58,4000003049218650,4000005923487061,13623,54885,0
2024-11-06 18:19:58,4000003084752191,4000000287643599,14810,41959,0
2024-11-06 18:19:58,4000006029574380,4000004610392858,33274,126762,1
2024-11-06 18:19:58,4000005139026471,4000007536098426,12249,15903,0
2024-11-06 18:19:58,4000008203951673,4000005960874312,6621,97879,0
2024-11-06 18:19:58,4000002384619704,4000000386497152,12683,43815,0
2024-11-06 18:19:58,4000009246130754,4000005019287433,4223,57945,0
2024-11-06 18:19:58,4000007942156834,4000008560147329,6471,103864,0
2024-11-06 18:19:58,4000000816245973,4000005306174294,13805,27457,0
2024-11-06 18:19:58,4000009602374814,4000009045871236,4324,84530,0
2024-11-06 18:19:58,4000009563170243,4000009713528043,483,10052,0
2024-11-06 18:19:58,4000003681459026,4000003425069875,11211,65522,0
2024-11-06 18:19:58,4000009386270451,4000009607325142,17078,34398,0
2024-11-06 18:19:58,4000002793058619,4000002018563799,441,31721,0
2024-11-06 18:19:58,4000004390781528,4000009023857140,8739,148892,0
2024-11-06 18:19:58,4000001960257384,4000001967382052,16647,45544,0
2024-11-06 18:19:58,4000002759804360,4000004572816902,17219,100110,0
2024-11-06 18:19:58,4000006059184233,4000001827435066,9681,30488,0
2024-11-06 18:19:58,4000004653781207,4000000351294683,317,59517,0
2024-11-06 18:19:58,4000002104657935,4000000728915432,1203,30220,0
2024-11-06 18:19:58,4000004591326701,4000003615798242,7752,38191,0
2024-11-06 18:19:58,4000005294680179,4000003796152482,8600,57624,0
2024-11-06 18:19:58,4000004105269876,4000001074862954,2534,79054,0
2024-11-06 18:19:58,4000008632705948,4000007358291646,17682,37901,0
2024-11-06 18:19:58,4000007850913267,4000006703452911,18325,23144,0
2024-11-06 18:19:58,4000008516702391,4000003954127680,14366,68321,0
2024-11-06 18:19:58,4000008296150340,4000009480713521,4355,10988,0
2024-11-06 18:19:58,4000005280946378,4000003916725803,11758,40211,0
2024-11-06 18:19:58,4000002915683401,4000008239516706,7656,65843,0
2024-11-06 18:19:58,4000006291457389,4000008796514235,19857,80627,0
2024-11-06 18:19:58,4000006137095245,4000009480127631,973,23030,0
2024-11-06 18:19:58,4000008435096719,4000002301485676,2451,11751,0
2024-11-06 18:19:58,4000000743691588,4000002763510847,816,64746,0
2024-11-06 18:19:58,4000004935607287,4000005648230192,16561,40658,0
2024-11-06 18:19:58,4000006057348913,4000008476903518,10059,50900,0
2024-11-06 18:19:58,4000002091378453,4000002103756498,3924,41098,0
2024-11-06 18:19:58,4000006137045893,4000008734916526,18421,53460,0
2024-11-06 18:19:58,4000009762341801,4000007385641029,12612,19738,0
2024-11-06 18:19:58,4000000294751864,4000005721408939,4095,79737,0
2024-11-06 18:19:58,4000006395128704,4000004602538195,13611,40480,0
2024-11-06 18:19:58,4000009067321847,4000006750392481,18364,53483,0
2024-11-06 18:19:58,4000002130475690,4000006831749253,18558,87095,0
2024-11-06 18:19:58,4000005623094811,4000002567819303,11930,85515,0
2024-11-06 18:19:58,4000008917425360,4000003216879508,19895,93439,0
2024-11-06 18:19:58,4000000745312688,4000007805291348,8906,27792,0
2024-11-06 18:19:58,4000004975032164,4000002098543711,2122,72422,0
2024-11-06 18:19:58,4000001352968044,4000002643789108,1864,69680,0
2024-11-06 18:19:58,4000002165780931,4000008410396274,14376,42211,0
2024-11-06 18:19:58,4000001839062742,4000009168730425,1604,119543,0
2024-11-06 18:19:58,4000004561872098,4000009368057215,3370,33779,0
2024-11-06 18:19:58,4000004709518264,4000004703158695,18530,100058,0
2024-11-06 18:19:58,4000000317562496,4000005607248391,3085,63180,0
2024-11-06 18:19:58,4000009516743088,4000004137598201,11906,29213,0
2024-11-06 18:19:58,4000001092365782,4000002386749152,3481,53699,0
2024-11-06 18:19:59,4000006583920714,4000005241638973,11233,65941,0
2024-11-06 18:19:59,4000003761059845,4000006052789145,68188,134302,1
2024-11-06 18:19:59,4000008169357428,4000004691573087,669,81511,0
2024-11-06 18:19:59,4000004591832708,4000004230876512,5502,8851,0
2024-11-06 18:19:59,4000007852910634,4000009841023768,10180,29846,0
2024-11-06 18:19:59,4000007238694050,4000004689712507,3925,24343,0
2024-11-06 18:19:59,4000000248371959,4000000348759210,16830,73907,0
2024-11-06 18:19:59,4000002608573190,4000003615980246,44949,105431,1
